Gender,Name,Age,Hometown,Exited,Season,Status,Entered,City_Pop,Largest_City_Pop,City_Size,Num_Couples,First_Name,Unique_Identifier
M,Noah Hura,23,Perth,43,Love Island Australia (Season 3),Dumped,23,"1,834,184","4,627,345",0.3963793493,1,Noah,NoahLove Island Australia (Season 3)
M,Taku Chimwaza,24,Wollongong,41,Love Island Australia (Season 3),Dumped,1,"283,243","4,627,345",0.06121069425,5,Taku,TakuLove Island Australia (Season 3)
F,Michela Louis,25,Sydney,41,Love Island Australia (Season 3),Dumped,21,"4,293,416","4,627,345",0.9278357244,1,Michela,MichelaLove Island Australia (Season 3)
M,Hugh Yates,24,Northern Beaches,41,Love Island Australia (Season 3),Dumped,30,"264,000","4,627,345",0.0570521541,1,Hugh,HughLove Island Australia (Season 3)
F,Eliza Kennedy,26,Brisbane,41,Love Island Australia (Season 3),Dumped,35,"2,099,328","4,627,345",0.4536787294,1,Eliza,ElizaLove Island Australia (Season 3)
F,Jade Ashelford,21,Sunshine Coast,39,Love Island Australia (Season 3),Dumped,35,"286,497","4,627,345",0.06191390527,0,Jade,JadeLove Island Australia (Season 3)
F,Lexy Thornberry,20,Brisbane,39,Love Island Australia (Season 3),Dumped,2,"2,099,328","4,627,345",0.4536787294,2,Lexy,LexyLove Island Australia (Season 3)
M,Ryan Reid,25,Terrigal,35,Love Island Australia (Season 3),Dumped,1,"15,000","4,627,345",0.003241599665,3,Ryan,RyanLove Island Australia (Season 3)
F,Tayla Mellington,26,Gold Coast,35,Love Island Australia (Season 3),Dumped,21,"493,425","4,627,345",0.106632421,1,Tayla,TaylaLove Island Australia (Season 3)
M,Ben Giobbi,25,Melbourne,30,Love Island Australia (Season 3),Dumped,23,"4,086,734","4,627,345",0.8831703709,1,Ben,BenLove Island Australia (Season 3)
F,Aisha Campbell,23,Perth,26,Love Island Australia (Season 3),Dumped,21,"1,834,184","4,627,345",0.3963793493,0,Aisha,AishaLove Island Australia (Season 3)
F,Audrey Kanongara,21,Brisbane,26,Love Island Australia (Season 3),Dumped,21,"2,099,328","4,627,345",0.4536787294,0,Audrey,AudreyLove Island Australia (Season 3)
M,Brent Crapp,25,Central Coast,26,Love Island Australia (Season 3),Dumped,23,"317,517","4,627,345",0.06861753338,0,Brent,BrentLove Island Australia (Season 3)
F,Brianna Marchant,20,Brisbane,26,Love Island Australia (Season 3),Dumped,21,"2,099,328","4,627,345",0.4536787294,0,Brianna,BriannaLove Island Australia (Season 3)
M,Nicolas Love,22,Sydney,26,Love Island Australia (Season 3),Dumped,14,"4,293,416","4,627,345",0.9278357244,1,Nicolas,NicolasLove Island Australia (Season 3)
F,Ruby Ennor,25,Gold Coast,26,Love Island Australia (Season 3),Dumped,21,"493,425","4,627,345",0.106632421,0,Ruby,RubyLove Island Australia (Season 3)
M,Sadee Sub Luban,22,Sydney,26,Love Island Australia (Season 3),Dumped,23,"4,293,416","4,627,345",0.9278357244,0,Sadee,SadeeLove Island Australia (Season 3)
M,Shayne Tino,27,Melbourne,26,Love Island Australia (Season 3),Dumped,23,"4,086,734","4,627,345",0.8831703709,0,Shayne,ShayneLove Island Australia (Season 3)
F,Emily Ward,24,Melbourne,17,Love Island Australia (Season 3),Dumped,8,"4,086,734","4,627,345",0.8831703709,2,Emily,EmilyLove Island Australia (Season 3)
F,Ari Kumar,25,Gold Coast,16,Love Island Australia (Season 3),Dumped,1,"493,425","4,627,345",0.106632421,3,Ari,AriLove Island Australia (Season 3)
M,Ronni Krongold,21,Sydney,16,Love Island Australia (Season 3),Dumped,1,"4,293,416","4,627,345",0.9278357244,3,Ronni,RonniLove Island Australia (Season 3)
F,Rachael Evren,21,Gold Coast,10,Love Island Australia (Season 3),Dumped,1,"493,425","4,627,345",0.106632421,2,Rachael,RachaelLove Island Australia (Season 3)
M,Jordan Tilli,28,Melbourne,5,Love Island Australia (Season 3),Dumped,1,"4,086,734","4,627,345",0.8831703709,1,Jordan,JordanLove Island Australia (Season 3)
F,Anna McEvoy,27,Melbourne,35,Love Island Australia (Season 2),Winner,4,"4,086,734","4,627,345",0.8831703709,2,Anna,AnnaLove Island Australia (Season 2)
M,Josh Packham1,25,Northern Beaches,35,Love Island Australia (Season 2),Winner,8,"264,000","4,627,345",0.0570521541,1,Josh,JoshLove Island Australia (Season 2)
F,Cartier Surjan,19,Sydney,35,Love Island Australia (Season 2),Runner-Up,1,"4,293,416","4,627,345",0.9278357244,3,Cartier,CartierLove Island Australia (Season 2)
M,Matthew Zukowski,24,Melbourne,35,Love Island Australia (Season 2),Runner-Up,1,"4,086,734","4,627,345",0.8831703709,3,Matthew,MatthewLove Island Australia (Season 2)
M,Aaron Deacon Shaw,27,Gold Coast,35,Love Island Australia (Season 2),Third Place,17,"493,425","4,627,345",0.106632421,1,Aaron,AaronLove Island Australia (Season 2)
F,Cynthia Taylu,23,Brisbane,35,Love Island Australia (Season 2),Third Place,1,"2,099,328","4,627,345",0.4536787294,4,Cynthia,CynthiaLove Island Australia (Season 2)
F,Jessie Wynter,23,Hobart,34,Love Island Australia (Season 2),Dumped,1,"205,557","4,627,345",0.04442223348,4,Jessie,JessieLove Island Australia (Season 2)
M,Todd Elton,26,Melbourne,34,Love Island Australia (Season 2),Dumped,21,"4,086,734","4,627,345",0.8831703709,1,Todd,ToddLove Island Australia (Season 2)
M,Blake Williamson,28,Gold Coast,33,Love Island Australia (Season 2),Dumped,21,"493,425","4,627,345",0.106632421,1,Blake,BlakeLove Island Australia (Season 2)
F,Margarita Smith,26,Melbourne,33,Love Island Australia (Season 2),Dumped,28,"4,086,734","4,627,345",0.8831703709,1,Margarita,MargaritaLove Island Australia (Season 2)
M,Adam Farrugia,27,Gold Coast,31,Love Island Australia (Season 2),Dumped,1,"493,425","4,627,345",0.106632421,2,Adam,AdamLove Island Australia (Season 2)
F,Isabelle Green,27,Brisbane,30,Love Island Australia (Season 2),Dumped,15,"2,099,328","4,627,345",0.4536787294,1,Isabelle,IsabelleLove Island Australia (Season 2)
F,Cassie Lansdell,26,Sydney,30,Love Island Australia (Season 2),Dumped,1,"4,293,416","4,627,345",0.9278357244,3,Cassie,CassieLove Island Australia (Season 2)
M,Luke Packham1,25,Northern Beaches,30,Love Island Australia (Season 2),Dumped,8,"264,000","4,627,345",0.0570521541,1,Luke,LukeLove Island Australia (Season 2)
M,Gerard Majda,23,Perth,26,Love Island Australia (Season 2),Walked,1,"1,834,184","4,627,345",0.3963793493,4,Gerard,GerardLove Island Australia (Season 2)
F,Jordan Cayless,28,Perth,20,Love Island Australia (Season 2),Dumped,15,"1,834,184","4,627,345",0.3963793493,1,Jordan,JordanLove Island Australia (Season 2)
F,Biannca Furchtman,25,Sydney,20,Love Island Australia (Season 2),Dumped,15,"4,293,416","4,627,345",0.9278357244,0,Biannca,BianncaLove Island Australia (Season 2)
M,Eoghan Murphy,23,Gold Coast,19,Love Island Australia (Season 2),Dumped,2,"493,425","4,627,345",0.106632421,2,Eoghan,EoghanLove Island Australia (Season 2)
F,Angel Ellis-Holley,19,Brisbane,17,Love Island Australia (Season 2),Dumped,15,"2,099,328","4,627,345",0.4536787294,0,Angel,AngelLove Island Australia (Season 2)
F,Tea Frazer,20,Perth,17,Love Island Australia (Season 2),Dumped,15,"1,834,184","4,627,345",0.3963793493,0,Tea,TeaLove Island Australia (Season 2)
M,Maurice Salib,27,Sydney,14,Love Island Australia (Season 2),Dumped,1,"4,293,416","4,627,345",0.9278357244,2,Maurice,MauriceLove Island Australia (Season 2)
F,Vanessa Joli,24,Sydney,14,Love Island Australia (Season 2),Dumped,1,"4,293,416","4,627,345",0.9278357244,1,Vanessa,VanessaLove Island Australia (Season 2)
F,Phoebe Thompson,28,Sydney,12,Love Island Australia (Season 2),Dumped,4,"4,293,416","4,627,345",0.9278357244,1,Phoebe,PhoebeLove Island Australia (Season 2)
M,Sam Withers,28,Melbourne,7,Love Island Australia (Season 2),Dumped,1,"4,086,734","4,627,345",0.8831703709,1,Sam,SamLove Island Australia (Season 2)
F,Angèle Salentino,25,Paris,17,Love Island France (Season 1),Winner,1,"2,243,833","2,138,551",1.04923053,1,Angèle,AngèleLove Island France (Season 1)
M,Tristan Mrs,27,Toulon,17,Love Island France (Season 1),Winner,1,"164,532","2,138,551",0.07693620587,1,Tristan,TristanLove Island France (Season 1)
M,Arthur Nelson,25,Juan Les Pins,17,Love Island France (Season 1),Dumped,3,"4,400","2,138,551",0.002057467884,1,Arthur,ArthurLove Island France (Season 1)
F,Mariana Guide,23,Geneve,17,Love Island France (Season 1),Dumped,7,"200,000","2,138,551",0.09352126744,1,Mariana,MarianaLove Island France (Season 1)
M,Cyrille Farquetlilla,25,Montreux,17,Love Island France (Season 1),Dumped,9,"26,000","2,138,551",0.01215776477,1,Cyrille,CyrilleLove Island France (Season 1)
F,Raynande,26,Clichy,17,Love Island France (Season 1),Dumped,1,"60,000","2,138,551",0.02805638023,3,Raynande,RaynandeLove Island France (Season 1)
M,Jeremy Elbhar,26,Nice,17,Love Island France (Season 1),Dumped,1,"343,304","2,138,551",0.160531126,3,Jeremy,JeremyLove Island France (Season 1)
F,Pauline Ritschiie,24,Bordeaux,17,Love Island France (Season 1),Dumped,1,"239,157","2,138,551",0.1118313288,3,Pauline,PaulineLove Island France (Season 1)
F,Louna Gregoire,23,Ile Maurice,17,Love Island France (Season 1),Dumped,1,"1,220,000","2,138,551",0.5704797314,3,Louna,LounaLove Island France (Season 1)
M,Marvin Anthony,24,Paris,17,Love Island France (Season 1),Dumped,3,"2,243,833","2,138,551",1.04923053,2,Marvin,MarvinLove Island France (Season 1)
F,Elma Asani,22,Liege,13,Love Island France (Season 1),Dumped,12,"1,100,000","2,138,551",0.5143669709,0,Elma,ElmaLove Island France (Season 1)
F,Hanny,28,Los Angeles,13,Love Island France (Season 1),Dumped,12,"3,849,000","2,138,551",1.799816792,0,Hanny,HannyLove Island France (Season 1)
F,Julia Troudart,21,Paris,13,Love Island France (Season 1),Dumped,7,"2,243,833","2,138,551",1.04923053,0,Julia,JuliaLove Island France (Season 1)
M,Jimmy Ellion,22,Bordeaux,11,Love Island France (Season 1),Dumped,1,"239,157","2,138,551",0.1118313288,2,Jimmy,JimmyLove Island France (Season 1)
M,Pedro Da Silva,27,London,11,Love Island France (Season 1),Dumped,9,"366,150","2,138,551",0.1712140604,0,Pedro,PedroLove Island France (Season 1)
M,Bilal Nawel,26,Marseille,10,Love Island France (Season 1),Dumped,1,"850,726","2,138,551",0.3978048688,3,Bilal,BilalLove Island France (Season 1)
F,Cassandra Coutinho,25,Dreux,10,Love Island France (Season 1),Dumped,7,,"2,138,551",0,1,Cassandra,CassandraLove Island France (Season 1)
F,Lea Medjane,25,Bordeaux,8,Love Island France (Season 1),Dumped,1,"239,157","2,138,551",0.1118313288,2,Lea,LeaLove Island France (Season 1)
F,Alicia,23,Paris,7,Love Island France (Season 1),Dumped,,"2,243,833","2,138,551",1.04923053,0,Alicia,AliciaLove Island France (Season 1)
M,Logan Rosset,24,Biarritz,5,Love Island France (Season 1),Dumped,1,,"2,138,551",0,1,Logan,LoganLove Island France (Season 1)
F,Sarra Khemakhem,23,Tunis,4,Love Island France (Season 1),Walked,1,,"2,138,551",0,0,Sarra,SarraLove Island France (Season 1)
F,Elena Miras,25,Zurich,22,Love Island Germany (Season 1),Winner,1,,"3,566,791",0,2,Elena,ElenaLove Island Germany (Season 1)
M,Jan Sokolowsky,28,Cologne,22,Love Island Germany (Season 1),Winner,1,,"3,566,791",0,3,Jan,JanLove Island Germany (Season 1)
M,Julian Diebold,24,Neuwied,22,Love Island Germany (Season 1),Runner-Up,1,,"3,566,791",0,1,Julian,JulianLove Island Germany (Season 1)
F,Stephanie Schmitz,23,Konigswinter,22,Love Island Germany (Season 1),Runner-Up,1,,"3,566,791",0,1,Stephanie,StephanieLove Island Germany (Season 1)
F,Chethrin Schulze,25,Berlin,22,Love Island Germany (Season 1),Third Place,1,"3,375,222","3,566,791",0.9462909377,3,Chethrin,ChethrinLove Island Germany (Season 1)
M,Mike Heiter,25,Essen,22,Love Island Germany (Season 1),Third Place,1,"566,862","3,566,791",0.1589277308,4,Mike,MikeLove Island Germany (Season 1)
M,Anthony Schirru,29,Nuremberg,22,Love Island Germany (Season 1),Fourth Place,3,,"3,566,791",0,4,Anthony,AnthonyLove Island Germany (Season 1)
F,Donna Adrienne,23,Heidelberg,22,Love Island Germany (Season 1),Fourth Place,16,"150,335","3,566,791",0.04214853071,1,Donna,DonnaLove Island Germany (Season 1)
F,Franziska Dahl,22,Merzig,21,Love Island Germany (Season 1),Dumped,17,,"3,566,791",0,2,Franziska,FranziskaLove Island Germany (Season 1)
M,Marvin Kaspar,20,Stahlhofen,21,Love Island Germany (Season 1),Dumped,13,,"3,566,791",0,2,Marvin,MarvinLove Island Germany (Season 1)
F,Alina Gogel,20,Munster,21,Love Island Germany (Season 1),Dumped,8,,"3,566,791",0,3,Alina,AlinaLove Island Germany (Season 1)
M,Daniel Zeleny,27,Frankfurt,21,Love Island Germany (Season 1),Dumped,16,,"3,566,791",0,2,Daniel,DanielLove Island Germany (Season 1)
F,Katrina Drake,26,Bielefeld,18,Love Island Germany (Season 1),Dumped,13,"328,314","3,566,791",0.09204744545,1,Katrina,KatrinaLove Island Germany (Season 1)
F,Mechelle Shivers,30,Frankfurt,16,Love Island Germany (Season 1),Dumped,3,,"3,566,791",0,3,Mechelle,MechelleLove Island Germany (Season 1)
M,Robin Cortez,26,Marbach,15,Love Island Germany (Season 1),Dumped,11,,"3,566,791",0,0,Robin,RobinLove Island Germany (Season 1)
F,Midi Mii,27,Dusseldorf,15,Love Island Germany (Season 1),Walked,13,,"3,566,791",0,1,Midi,MidiLove Island Germany (Season 1)
M,Andre Schimmel,29,Augsburg,13,Love Island Germany (Season 1),Dumped,1,"272,699","3,566,791",0.07645499834,2,Andre,AndreLove Island Germany (Season 1)
F,Annika Zschuppe,27,Berlin,13,Love Island Germany (Season 1),Dumped,1,"3,375,222","3,566,791",0.9462909377,2,Annika,AnnikaLove Island Germany (Season 1)
M,Bastian Lee,24,Bochum,11,Love Island Germany (Season 1),Dumped,6,"362,213","3,566,791",0.1015515067,1,Bastian,BastianLove Island Germany (Season 1)
F,Linda Black,23,Dusseldorf,11,Love Island Germany (Season 1),Dumped,1,,"3,566,791",0,2,Linda,LindaLove Island Germany (Season 1)
M,Silvain Wirkus,23,Essen,9,Love Island Germany (Season 1),Dumped,1,"566,862","3,566,791",0.1589277308,1,Silvain,SilvainLove Island Germany (Season 1)
M,Slei Vorbei,28,Stuttgart,9,Love Island Germany (Season 1),Dumped,6,"597,939","3,566,791",0.1676406047,0,Slei,SleiLove Island Germany (Season 1)
F,Sabrina Jamnik,25,Mannhelm,5,Love Island Germany (Season 1),Dumped,1,,"3,566,791",0,1,Sabrina,SabrinaLove Island Germany (Season 1)
F,Tracy Candela,22,Konstanz,23,Love Island Germany (Season 2),Winner,1,,"3,566,791",0,2,Tracy,TracyLove Island Germany (Season 2)
M,Marcellino Kremers,25,MÃ¶nchengladbach,23,Love Island Germany (Season 2),Winner,1,"255,087","3,566,791",0.07151722655,3,Marcellino,MarcellinoLove Island Germany (Season 2)
F,Natascha Beil,28,Freigericht,23,Love Island Germany (Season 2),Runner-Up,1,,"3,566,791",0,2,Natascha,NataschaLove Island Germany (Season 2)
M,Tobias Wegener,25,Velbert,23,Love Island Germany (Season 2),Runner-Up,1,,"3,566,791",0,2,Tobias,TobiasLove Island Germany (Season 2)
M,Victor Seitz,20,Barcelona,23,Love Island Germany (Season 2),Third Place,1,"1,616,383","3,566,791",0.4531756977,3,Victor,VictorLove Island Germany (Season 2)
F,Joana Palmera,22,Schaffhausen,23,Love Island Germany (Season 2),Third Place,14,,"3,566,791",0,1,Joana,JoanaLove Island Germany (Season 2)
F,Lisa Thiel,21,Falkensee,22,Love Island Germany (Season 2),Dumped,1,,"3,566,791",0,3,Lisa,LisaLove Island Germany (Season 2)
M,Yanik Strunkey,31,Garbsden,22,Love Island Germany (Season 2),Dumped,1,,"3,566,791",0,3,Yanik,YanikLove Island Germany (Season 2)
F,Jessica Fiorini,22,Edlibach,22,Love Island Germany (Season 2),Dumped,7,,"3,566,791",0,1,Jessica,JessicaLove Island Germany (Season 2)
M,Sebastien Kogl,24,Arth,22,Love Island Germany (Season 2),Dumped,1,,"3,566,791",0,2,Sebastien,SebastienLove Island Germany (Season 2)
F,Janine Eibner,23,Leinfelden-Echterdingen,21,Love Island Germany (Season 2),Dumped,20,,"3,566,791",0,0,Janine,JanineLove Island Germany (Season 2)
M,Richard Heinze,21,Cologne,21,Love Island Germany (Season 2),Dumped,20,,"3,566,791",0,0,Richard,RichardLove Island Germany (Season 2)
M,Babak Cheragphour,30,Cologne,20,Love Island Germany (Season 2),Dumped,14,,"3,566,791",0,1,Babak,BabakLove Island Germany (Season 2)
F,Janina Jahn,23,Hamburg,20,Love Island Germany (Season 2),Dumped,7,"1,734,272","3,566,791",0.4862275362,2,Janina,JaninaLove Island Germany (Season 2)
F,Julia Eliana,22,Colbe,19,Love Island Germany (Season 2),Dumped,1,,"3,566,791",0,3,Julia,JuliaLove Island Germany (Season 2)
M,Adnir Sellimagic,24,Feldkirch,13,Love Island Germany (Season 2),Dumped,9,,"3,566,791",0,1,Adnir,AdnirLove Island Germany (Season 2)
F,Sabi Re,27,Offenbach,13,Love Island Germany (Season 2),Dumped,3,,"3,566,791",0,1,Sabi,SabiLove Island Germany (Season 2)
M,Till Adam,29,Kiel,13,Love Island Germany (Season 2),Dumped,1,"239,866","3,566,791",0.06724980522,2,Till,TillLove Island Germany (Season 2)
M,Christophe Putz,28,Aachen,12,Love Island Germany (Season 2),Dumped,9,"240,086","3,566,791",0.06731148531,0,Christophe,ChristopheLove Island Germany (Season 2)
F,Finnja Bunhove,20,Cologne,10,Love Island Germany (Season 2),Dumped,3,,"3,566,791",0,1,Finnja,FinnjaLove Island Germany (Season 2)
F,Sabrina Doberstein,25,Neukirchen-Vluyn,9,Love Island Germany (Season 2),Dumped,1,,"3,566,791",0,1,Sabrina,SabrinaLove Island Germany (Season 2)
M,Sidney Wolf,32,Dusseldorf,27,Love Island Germany (Season 3),Winner,8,,"3,566,791",0,2,Sidney,SidneyLove Island Germany (Season 3)
F,Vivien Michalla,26,MÃ¼hlheim an der Ruhr,27,Love Island Germany (Season 3),Winner,12,,"3,566,791",0,1,Vivien,VivienLove Island Germany (Season 3)
F,Samira Berkane,22,Hamburg,27,Love Island Germany (Season 3),Runner-Up,1,"1,734,272","3,566,791",0.4862275362,2,Samira,SamiraLove Island Germany (Season 3)
M,Yasin Yilmaz,28,Memmingerberg,27,Love Island Germany (Season 3),Runner-Up,1,,"3,566,791",0,2,Yasin,YasinLove Island Germany (Season 3)
F,Lina Schrdr,22,Wuppertal,27,Love Island Germany (Season 3),Third Place,12,"342,885","3,566,791",0.09613263014,1,Lina,LinaLove Island Germany (Season 3)
M,Roman Raamo,28,Hamburg,27,Love Island Germany (Season 3),Third Place,16,"1,734,272","3,566,791",0.4862275362,1,Roman,RomanLove Island Germany (Season 3)
F,Laura Lee,25,Stuttgart,27,Love Island Germany (Season 3),Fourth Place,20,"597,939","3,566,791",0.1676406047,1,Laura,LauraLove Island Germany (Season 3)
M,Mischa Mayer,27,Ludgwigshafen,27,Love Island Germany (Season 3),Fourth Place,1,,"3,566,791",0,2,Mischa,MischaLove Island Germany (Season 3)
M,Danilo Cristilli,22,Schwenningen,26,Love Island Germany (Season 3),Dumped,1,,"3,566,791",0,4,Danilo,DaniloLove Island Germany (Season 3)
F,Dijana Cvijetic,25,Switzerland,4,Love Island Germany (Season 3),Dumped,1,,"3,566,791",0,3,Dijana,DijanaLove Island Germany (Season 3)
M,Aleksandar Petrovic,28,Mullheim an der Ruhr,25,Love Island Germany (Season 3),Dumped,8,,"3,566,791",0,3,Aleksandar,AleksandarLove Island Germany (Season 3)
M,Marcel Avdic,22,Stuttgart,25,Love Island Germany (Season 3),Dumped,22,"597,939","3,566,791",0.1676406047,0,Marcel,MarcelLove Island Germany (Season 3)
F,Melissa Durna,23,Herrenberg,25,Love Island Germany (Season 3),Walked,1,,"3,566,791",0,3,Melissa,MelissaLove Island Germany (Season 3)
F,Ricarda Raatz,27,Erkrath,22,Love Island Germany (Season 3),Walked,1,,"3,566,791",0,1,Ricarda,RicardaLove Island Germany (Season 3)
M,Mustafa Musti,26,Hannover,22,Love Island Germany (Season 3),Dumped,19,"514,137","3,566,791",0.1441455359,0,Mustafa,MustafaLove Island Germany (Season 3)
F,Dana Umut,23,Oldenburg,21,Love Island Germany (Season 3),Dumped,12,"158,658","3,566,791",0.04448200077,1,Dana,DanaLove Island Germany (Season 3)
F,Julia Oemler,25,Halle,15,Love Island Germany (Season 3),Dumped,5,"231,440","3,566,791",0.06488745766,1,Julia,JuliaLove Island Germany (Season 3)
F,Lisa Saxony,22,Elsterberg,15,Love Island Germany (Season 3),Dumped,1,,"3,566,791",0,3,Lisa,LisaLove Island Germany (Season 3)
F,Denise Brohl,32,Cologne,14,Love Island Germany (Season 3),Dumped,1,,"3,566,791",0,3,Denise,DeniseLove Island Germany (Season 3)
M,Philipp Laicher,29,Konstanz,14,Love Island Germany (Season 3),Dumped,8,,"3,566,791",0,1,Philipp,PhilippLove Island Germany (Season 3)
M,Erik Rial,22,Innsbruck,10,Love Island Germany (Season 3),Dumped,1,"122,458","3,566,791",0.03433282186,2,Erik,ErikLove Island Germany (Season 3)
M,Dennis Glanz,22,Luneburg,8,Love Island Germany (Season 3),Walked,1,,"3,566,791",0,2,Dennis,DennisLove Island Germany (Season 3)
M,Amin Elkach,27,Cologne,7,Love Island Germany (Season 3),Dumped,3,,"3,566,791",0,1,Amin,AminLove Island Germany (Season 3)
F,Asena Neuhoff,22,Cologne,7,Love Island Germany (Season 3),Dumped,1,,"3,566,791",0,1,Asena,AsenaLove Island Germany (Season 3)
M,Argiris Fragkos,22,Samos,39,Love Island Greece (Season 1),Winner,6,,"3,153,781",0,2,Argiris,ArgirisLove Island Greece (Season 1)
F,Maria Astoglou,22,Thessaloniki,39,Love Island Greece (Season 1),Winner,1,"315,196","3,153,781",0.09994225978,3,Maria,MariaLove Island Greece (Season 1)
F,Anastasia Sidiropoulou,23,Athens,39,Love Island Greece (Season 1),Runner-Up,1,,"3,153,781",0,4,Anastasia,AnastasiaLove Island Greece (Season 1)
M,Giorgos Georgiou,21,Athens,39,Love Island Greece (Season 1),Runner-Up,1,,"3,153,781",0,4,Giorgos,GiorgosLove Island Greece (Season 1)
M,Fanis Papadopoulos,31,Rhodes,39,Love Island Greece (Season 1),Third Place,22,,"3,153,781",0,3,Fanis,FanisLove Island Greece (Season 1)
